adaptive_fusion,all_four_jointly_present,candidate_claim_disposition,doi_or_identifier,dual_stream_fusion_evidence,evidence_page_or_section,forecast_age_evidence,forecast_age_explicit,forecast_task,full_text_checked,future_nwp_stream,historical_observation_stream,implication_for_claim,innovation_threat,issue_time_eligibility_evidence,issue_time_explicit,lead_dependent_reliability_evidence,lead_reliability_explicit,official_or_fulltext_url,overlap_note,remaining_difference,title,venue,year
EVIDENCE_REVIEWED,NO,DIRECTLY_PARTIALLY_COVERED,10.1016/j.apenergy.2023.120989,"PARTIAL: historical production and forecast weather are inputs, but no issue/age-conditioned adaptive fusion.","Sec. 2.2 Weather Sampling, p.6; Sec. 3.7 forecast-age analysis",YES: multiple forecast ages and age-error relationship are explicit.,EVIDENCE_REVIEWED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,Forecast-age novelty is occupied; only the full operational four-part coupling may be claimed cautiously.,HIGH,YES: Realistic samples use the latest available weather forecast at prediction time.,EVIDENCE_REVIEWED,PARTIAL: forecast error is evaluated by age; no learned lead-specific reliability fusion.,EVIDENCE_REVIEWED,https://www.sciencedirect.com/science/article/pii/S0306261923003537,"Directly analyzes weather, location and forecast age; strongest direct prior",No explicit operational issue timestamp rule and no lead-conditioned reliability gate between two streams.,Predicting photovoltaic power production using high-uncertainty weather forecasts,Applied Energy,2023
EVIDENCE_REVIEWED,NO,DIRECTLY_PARTIALLY_COVERED,10.1016/j.solener.2025.113939,"YES/PARTIAL: five history/NWP integration patterns are compared, but not issue/age-conditioned adaptive fusion.",Methods 1–5; Sec. 5.6 and Fig. 9 horizon/model analysis,NO: forecast age is not an explicit model input in the checked full text.,EVIDENCE_REVIEWED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,Generic NWP integration and horizon-aware strategy selection are occupied.,HIGH,NO: no operational cycle-eligibility rule located.,EVIDENCE_REVIEWED,"PARTIAL: best NWP integration strategy depends empirically on forecast horizon, not forecast-age reliability.",EVIDENCE_REVIEWED,https://www.sciencedirect.com/science/article/pii/S0038092X25007029,Five NWP integration strategies; horizon/architecture dependence,No issue-time eligibility or explicit age-conditioned reliability.,Selecting effective NWP integration approaches for PV power forecasting with deep learning,Solar Energy,2025
EVIDENCE_REVIEWED,NO,DIRECTLY_PARTIALLY_COVERED,10.1038/s41467-026-73817-3,YES: historical PV/environmental inputs and forward weather are fused with correlation-aware channel and cross attention.,"Methods—Cross-Unet, Fig. 9, P-Corr module; Discussion",NO: forecast age is not represented explicitly.,EVIDENCE_REVIEWED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,Adaptive historical/NWP dual-stream fusion alone is occupied.,HIGH,NO: no issue-time/cycle availability rule located.,EVIDENCE_REVIEWED,"NO/PARTIAL: multiple horizons are tested, but reliability is not conditioned on forecast age/lead.",EVIDENCE_REVIEWED,https://www.nature.com/articles/s41467-026-73817-3,Separate historical and forward-weather streams with adaptive channel emphasis,Operational issue eligibility and explicit forecast-age/lead reliability are absent.,Rethinking the use of deep learning methods for photovoltaic power forecasting,Nature Communications,2026
EVIDENCE_REVIEWED,NO,DIRECTLY_PARTIALLY_COVERED,10.1016/j.enbuild.2024.115212,YES/PARTIAL: separate LMD and NWP encoders plus correction; not operational-age adaptive fusion.,"Sec. 3 Methodology, Fig. 5; NWP correction and LMD/NWP encoders",NO: no explicit forecast-age variable located.,EVIDENCE_REVIEWED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,Dual-encoder NWP correction is occupied and cannot be claimed broadly.,HIGH,NO: no release-cycle eligibility protocol located.,EVIDENCE_REVIEWED,NO: correction is not conditioned on forecast lead/age.,EVIDENCE_REVIEWED,https://www.sciencedirect.com/science/article/pii/S0378778824013288,LMD/NWP dual encoders and explicit NWP correction,No operational causality or age/lead reliability conditioning.,Day-ahead photovoltaic power forecasting based on corrected numeric weather prediction and domain generalization,Energy and Buildings,2025
EVIDENCE_REVIEWED,NO,DIRECTLY_PARTIALLY_COVERED,10.3390/en18112809,NO: reliability switches among classification/unified models rather than adaptively fusing history and NWP.,Secs. 2.3–2.4; Sec. 3.4; Discussion Sec. 4.2,NO: no explicit forecast-age feature.,EVIDENCE_REVIEWED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,Broad 'NWP reliability decision' wording is occupied; note authors disclose same-day measured-irradiance correction as a real-world limitation.,HIGH,NO: no issue timestamp or cycle-selection rule.,EVIDENCE_REVIEWED,"NO/PARTIAL: weather-mode reliability controls model choice, not lead-dependent NWP trust.",EVIDENCE_REVIEWED,https://www.mdpi.com/1996-1073/18/11/2809,Weather-mode reliability decision and NWP irradiance correction,"Reliability is weather-mode-level, not operational age/lead-conditioned dual-stream fusion.",A Day-Ahead PV Power Forecasting Method Based on Irradiance Correction and Weather Mode Reliability Decision,Energies,2025
EVIDENCE_REVIEWED,NO,DIRECTLY_PARTIALLY_COVERED,arXiv:2607.12954,"PARTIAL: reliance can shift from future forecasts to history/physical priors, but this is analysis rather than the proposed four-part fusion.",Methods/robustness perturbation framework; SHAP/IG feature-reallocation analysis,NO: forecast age is not an explicit conditioning variable.,EVIDENCE_REVIEWED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,NWP-error robustness and feature-reallocation novelty are occupied.,HIGH,NO: operational issue-time eligibility is not defined.,EVIDENCE_REVIEWED,YES/PARTIAL: temporal/state-dependent NWP errors and robustness are evaluated; no learned age-aware reliability gate.,EVIDENCE_REVIEWED,https://arxiv.org/abs/2607.12954,Lead/state-dependent NWP error robustness,No issue-time or forecast-age-conditioned adaptive fusion mechanism.,Robustness of Deep Learning Models for PV Power Forecasting under NWP Forecast Errors,arXiv,2026
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.1016/j.apenergy.2020.116239,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.sciencedirect.com/science/article/pii/S0306261920316330,Operational NWP-to-power chains and intraday/day-ahead horizons,,Extensive comparison of physical models for photovoltaic power forecasting,Applied Energy,2021
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.1016/j.rser.2022.112364,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.sciencedirect.com/science/article/pii/S136403212200274X,24 NWP-driven models; predictor selection dominates,,Comparison of machine learning methods for photovoltaic power forecasting based on numerical weather prediction,Renewable and Sustainable Energy Reviews,2022
NOT_FULLY_CODED,,DIRECTLY_PARTIALLY_COVERED,arXiv:2412.02302,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,,HIGH,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://arxiv.org/abs/2412.02302,Historical target and covariate encoders with cross attention; Australian data,,Enhanced Photovoltaic Power Forecasting: An iTransformer and LSTM-Based Model Integrating Temporal and Covariate Interactions,arXiv,2024
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.5194/egusphere-2025-4439,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://egusphere.copernicus.org/preprints/2025/egusphere-2025-4439/,Multi-scale NWP plus physics-informed network,,MIPV-NWP-PINN V1.0,EGUsphere,2025
