paper_id,title,year,venue,doi_or_official_url,pv_domain,multi_horizon_trajectory,explicit_accept_abstain,past_only_difficulty_score,calibrated_risk_control,time_series_nonexchangeability_handling,matched_coverage_persistence_challenge,high_change_daylight_audit,overlap_verdict,exact_supporting_page_or_section,review_basis
L01,Bounded-Abstention Multi-horizon Time-series Forecasting,2026,arXiv,https://arxiv.org/abs/2602.04714,NO,YES,YES,PARTIAL,YES,PARTIAL,NO,NO,HIGH_THREAT_NOT_COMPLETE,"Sections 2-4 define multi-horizon abstention and coverage-constrained selective risk; experiments span 24 non-PV datasets and do not include matched PV Persistence/daylight auditing",full_method_text
L02,Selective Time Series Forecasting via Metalearning,2026,arXiv,https://arxiv.org/abs/2606.23448,NO,YES,YES,YES,NO,YES,NO,NO,HIGH_THREAT_NOT_COMPLETE,"Sections 3-4 predict empirical error percentiles from recent-lag structural features and evaluate rejection across coverage; no PV-specific or matched-Persistence protocol",full_method_text
L03,Confidence-aware deep learning forecasting system for daily solar irradiance,2019,IET Renewable Power Generation,https://doi.org/10.1049/iet-rpg.2018.5354,YES,NO,YES,NO,NO,NO,NO,NO,PV_CONFIDENCE_PRECEDENT_ONLY,"Methods describe Bayesian confidence and Results separate confident/non-confident daily irradiance forecasts at one threshold; not a multi-horizon PV trajectory or calibrated selective-risk study",method_and_results
L04,Enhancing the reliability of probabilistic PV power forecasts using conformal prediction,2024,Solar Energy Advances,https://doi.org/10.1016/j.seja.2024.100059,YES,YES,NO,PARTIAL,YES,PARTIAL,NO,NO,PV_CONFORMAL_PRECEDENT_ONLY,"Sections 2-3 construct weighted/KNN/Mondrian conformal predictive intervals for day-ahead PV; outputs are intervals/CDFs rather than explicit accept-abstain decisions",full_method_text
L05,Comparative analysis of conformal prediction techniques and machine learning models for very short-term solar power forecasting,2025,Energy and AI,https://doi.org/10.1016/j.egyai.2025.100573,YES,YES,NO,NO,YES,PARTIAL,NO,NO,PV_CONFORMAL_PRECEDENT_ONLY,"Methods compare ICP Jackknife+ and EnbPI at 5/10/15 min; evaluation concerns interval coverage/width and not rejection with matched Persistence",full_method_text
L06,Probabilistic day-ahead prediction of PV generation: A comparative analysis of forecasting methodologies and of the factors influencing accuracy,2024,Solar Energy,https://doi.org/10.1016/j.solener.2024.112422,YES,YES,NO,NO,YES,NO,NO,NO,PV_PROBABILISTIC_PRECEDENT_ONLY,"Sections 2-4 compare day-ahead probabilistic methods including conformalized quantile regression; no selective acceptance or past-only forecastability score",method_and_experiments
L07,Conformal Time-Series Forecasting,2021,NeurIPS,https://papers.neurips.cc/paper_files/paper/2021/hash/312f1ba2a72318edaaa995a67835fad5-Abstract.html,NO,YES,NO,PARTIAL,YES,YES,NO,NO,TIME_SERIES_CONFORMAL_PRECEDENT_ONLY,"Sections 2-3 introduce EnbPI for sequential time-series prediction intervals under dependence; no accept-abstain PV trajectory task",full_method_text
L08,Adaptive Conformal Inference Under Distribution Shift,2021,NeurIPS,https://proceedings.neurips.cc/paper/2021/hash/0d441de75945e5acbc865406fc9a2559-Abstract.html,NO,NO,NO,NO,YES,YES,NO,NO,NONEXCHANGEABLE_CALIBRATION_PRECEDENT_ONLY,"Sections 2-3 adapt the miscoverage level online under distribution shift; prediction-set calibration rather than trajectory rejection",full_method_text
L09,Conformal Risk Control,2024,ICLR,https://openreview.net/forum?id=33XGfHLtZg,NO,NO,NO,NO,YES,NO,NO,NO,GENERAL_RISK_CONTROL_PRECEDENT_ONLY,"Sections 2-3 calibrate a parameter to bound expected monotone loss; the framework is general but does not define PV multi-horizon selective forecasting",full_method_text
L10,Non-Exchangeable Conformal Risk Control,2023,arXiv,https://arxiv.org/abs/2310.01262,NO,NO,NO,PARTIAL,YES,YES,NO,NO,NONEXCHANGEABLE_RISK_CONTROL_PRECEDENT_ONLY,"Sections 3-4 introduce relevance-weighted conformal risk control for non-exchangeable data; no PV trajectory abstention or matched Persistence",full_method_text
L11,Conformal multistep-ahead multivariate time-series forecasting,2025,Machine Learning,https://doi.org/10.1007/s10994-024-06722-9,NO,YES,NO,NO,YES,YES,NO,NO,MULTISTEP_CONFORMAL_PRECEDENT_ONLY,"Sections 2-4 define non-exchangeable multi-target conformal regions with joint multistep coverage; no selective rejection or PV application",full_method_text
L12,A general framework for multi-step ahead adaptive conformal heteroscedastic time series forecasting,2024,Neurocomputing,https://doi.org/10.1016/j.neucom.2024.128434,NO,YES,NO,PARTIAL,YES,YES,NO,NO,MULTISTEP_CONFORMAL_PRECEDENT_ONLY,"Sections 3-4 define adaptive ensemble MIMO conformalized quantile regression for heteroscedastic non-exchangeable series; no accept-abstain decision",full_method_text
L13,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,2019,ICML,https://proceedings.mlr.press/v97/geifman19a.html,NO,NO,YES,PARTIAL,YES,NO,NO,NO,GENERAL_ABSTENTION_PRECEDENT_ONLY,"Section 3 jointly optimizes prediction and selection under a target coverage constraint; it addresses supervised classification/regression rather than time-series PV trajectories",full_method_text
L14,Learn then Test: Calibrating Predictive Algorithms to Achieve Risk Control,2021,arXiv,https://arxiv.org/abs/2110.01052,NO,NO,PARTIAL,NO,YES,NO,NO,NO,GENERAL_CALIBRATION_PRECEDENT_ONLY,"Sections 2-3 provide finite-sample hypothesis-testing calibration for predictive risk; no PV-specific trajectory selection or forecastability model",full_method_text
L15,Conformal time series decomposition with component-wise exchangeability,2024,PMLR COPA,https://proceedings.mlr.press/v230/prinzhorn24a.html,NO,YES,NO,NO,YES,YES,NO,NO,TIME_SERIES_CONFORMAL_PRECEDENT_ONLY,"Sections 3-5 conformalize decomposed time-series components and study exchangeability; no accept-abstain or PV matched-Persistence evaluation",full_method_text
