requirement_id,data_role,site_or_resource,year,required_stage,local_status,evidence_path,observed_coverage,quality_or_gap_finding,required_user_action,estimated_download_gb,blocks_gpu,final_test_eligibility,notes
D01,five_minute_pv,Site 17 Sanyo,2021,BASE_TRAIN,AVAILABLE_WITH_EXPLICIT_GAPS,C:/Users/Zhujiangkun-Yohkoh/Desktop/光伏项目_最新/PV_improve_v1/原始Dataset/5min pv active power data/17 Sanyo.csv,100539 timestamps; 100534 valid Active_Power; 20 valid-power segments; 96640 conservative L72+H144 windows,Full calendar endpoints; 4581 missing timestamps; segmented use required,NONE,0,NO,ELIGIBLE_AFTER_SEGMENTATION,PV clock has no embedded timezone; use audited ACST mapping
D02,five_minute_pv,Site 25 Hanwha,2021,BASE_TRAIN,AVAILABLE_WITH_EXPLICIT_GAPS,C:/Users/Zhujiangkun-Yohkoh/Desktop/光伏项目_最新/PV_improve_v1/原始Dataset/5min pv active power data/25 Hanwha.csv,100541 timestamps; 99076 valid Active_Power; 18 segments; 95826 conservative windows,Full calendar endpoints; 4579 missing timestamps,NONE,0,NO,ELIGIBLE_AFTER_SEGMENTATION,Official array reference 5.83 kW; verify AC/DC interpretation in implementation report
D03,five_minute_pv,Site 38 Q CELLS,2021,BASE_TRAIN,AVAILABLE_WITH_EXPLICIT_GAPS,C:/Users/Zhujiangkun-Yohkoh/Desktop/光伏项目_最新/PV_improve_v1/原始Dataset/5min pv active power data/38 Q CELLS.csv,100539 timestamps; 99074 valid Active_Power; 19 segments; 95609 conservative windows,Full calendar endpoints; 4581 missing timestamps,NONE,0,NO,ELIGIBLE_AFTER_SEGMENTATION,Official array reference 5.9 kW; verify AC/DC interpretation in implementation report
D04,second_level_irradiance,Alice Springs MB0/MB1/MB2,2021,BASE_TRAIN,NOT_DOWNLOADED,No complete local 2021 second-level source,0 complete second-level records found for 2021,Required to reproduce the same MB-channel aggregation and masks used by the 2022 task,Download authoritative full-calendar 2021 UTC second-level irradiance export including MB0 MB1 MB2,3,YES,NOT_ELIGIBLE,Do not substitute ERA5 future observations or the damaged multi-year file
D05,five_minute_pv,Sites 17/25/38 common,2022,BASE_MODEL_VALIDATION;RISK_FIT;RISK_CALIBRATION,AVAILABLE_WITH_EXPLICIT_GAPS,Three files listed above,100494 common valid timestamps; 15 common segments; 97678 conservative L72+H144 windows,Best PV year among 2021-2023; segmented construction still required,NONE,0,NO,ELIGIBLE_AFTER_SEGMENTATION,Fixed calendar subperiods: Jan-Apr; May-Aug; Sep-Dec
D06,second_level_irradiance,Alice Springs MB0/MB1/MB2,2022,BASE_MODEL_VALIDATION;RISK_FIT;RISK_CALIBRATION,AVAILABLE_VALIDATED,C:/Users/Zhujiangkun-Yohkoh/Desktop/光伏项目_最新/PV_improve_v1/GFNODE_experiments/asoc_multirate_redownload_validation/fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2022.csv,31536000 UTC seconds; full calendar; 3011901400 bytes; 99121 fully valid and 5909 partial five-minute bins after ACST mapping,Structurally intact; channel NaNs retained; exported Local is UTC+09:00 and must not be used,NONE,0,NO,ELIGIBLE_WITH_UTC_TO_ACST,Authoritative source time is UTC; map UTC+09:30
D07,five_minute_pv,Site 17 Sanyo,2023,FINAL_TEST,AVAILABLE_WITH_EXPLICIT_GAPS,C:/Users/Zhujiangkun-Yohkoh/Desktop/光伏项目_最新/PV_improve_v1/原始Dataset/5min pv active power data/17 Sanyo.csv,101797 timestamps; 96941 valid Active_Power; 2773 segments; 72047 conservative windows,Full calendar endpoints; 3323 missing timestamps; no duplicates/inversions,NONE,0,NO,C1_METHOD_UNSEEN_CANDIDATE,No 2023 C1 score threshold coverage error or decision found in Git history
D08,five_minute_pv,Site 25 Hanwha,2023,FINAL_TEST,AVAILABLE_WITH_EXPLICIT_GAPS,C:/Users/Zhujiangkun-Yohkoh/Desktop/光伏项目_最新/PV_improve_v1/原始Dataset/5min pv active power data/25 Hanwha.csv,101833 timestamps; 95908 valid Active_Power; 2642 segments; 71456 conservative windows,Full calendar endpoints; 3287 missing timestamps; no duplicates/inversions,NONE,0,NO,C1_METHOD_UNSEEN_CANDIDATE,Use only common eligible segmented origins for macro comparison
D09,five_minute_pv,Site 38 Q CELLS,2023,FINAL_TEST,AVAILABLE_WITH_EXPLICIT_GAPS,C:/Users/Zhujiangkun-Yohkoh/Desktop/光伏项目_最新/PV_improve_v1/原始Dataset/5min pv active power data/38 Q CELLS.csv,101812 timestamps; 95981 valid Active_Power; 2639 segments; 71609 conservative windows,Full calendar endpoints; 3308 missing timestamps; no duplicates/inversions,NONE,0,NO,C1_METHOD_UNSEEN_CANDIDATE,Use only common eligible segmented origins for macro comparison
D10,second_level_irradiance,Alice Springs MB0/MB1/MB2,2023,FINAL_TEST,CORRUPTED_AND_INCOMPLETE,C:/Users/Zhujiangkun-Yohkoh/Desktop/光伏项目_最新/PV_improve_v1/原始Dataset/高分辨率气象数据集/fsm1m_7111_ekistica-alice-springs-ekistica-alice-springs_irradiancedata_1sec_2023.csv,Only 560 five-minute bins from 2023-01-01 09:05 to 2023-01-03 07:40 before malformed transition and about 446-day jump,Cannot support calendar-2023 Final Test; not repairable by interpolation,Re-download authoritative full-calendar 2023 UTC second-level irradiance export including MB0 MB1 MB2,3,YES,NOT_ELIGIBLE_UNTIL_REDOWNLOAD,File size 1774300504 bytes does not imply temporal completeness
