"route_id","route_name","scientific_question","dataset","input_information","comparator","number_of_runs","primary_metrics","main_result","seed_consistency","protocol_status","final_status","failure_reason","reusable_assets","prohibited_claims","report_path","commit_sha"
"R00","Original submitted GFNODE","Does the original GFNODE provide valid continuous-time multi-horizon PV superiority?","2018 Alice Springs Sanyo/Hanwha/Qcells; filtered arrays","Eight PV/weather variables after legacy global preprocessing","Six reported baselines and ablations","Multiple single-seed runs; exact complete count CANNOT_VERIFY","R²/RMSE/MAE/MAPE; reported ablations/season/latency","Stage 0 found leakage, test selection, split/window overlap, broken physical horizon semantics and irreproducible Tables 9–13","Single seed; no SD/CI","DATA_PROTOCOL_FAIL; IMPLEMENTATION_CONSISTENCY_FAIL; PROVENANCE_FAIL","REJECT_FOR_SUBMISSION","Global fit before split; Test used for tuning; t unused; nonuniform rows called 5-min; tables/figures mismatch","Historical code only; manuscript background and DKASC context after factual rewrite","All original performance numbers; error-accumulation suppression; arbitrary resolution; seasonal transfer; deployment readiness","docs/asoc_stage0_audit/STAGE0_AUDIT_REPORT.md","ceace6a3a5efe8ebb44c83895ab0259192d582a0"
"R01","Clean time-conditioned GFNODE","Does a corrected time-conditioned ODE decoder beat a parameter-matched discrete decoder under a leakage-free protocol?","Sanyo and Qcells; fixed 2018 date splits","Regular 5-min timeline; train-only KNN/IF/scalers; lookback72; H144","Parameter-matched Discrete Trajectory Decoder","12 total: 2 models × 2 datasets × 3 seeds","H12/H48/H96/H144 RMSE/MAE/R²/nRMSE","GFNODE won Qcells H144 by 6.17% but lost Sanyo H144 by 9.42%; predeclared route decision FAIL","Qcells 3/3 wins; Sanyo 0/3 wins","CLEAN_PROTOCOL_VERIFIED","PERFORMANCE_FAIL_ODE_ROUTE","No cross-dataset stable ODE advantage; cannot attribute robust benefit to continuous dynamics","Clean protocol; time-conditioned implementation; per-seed predictions; parameter-matched control","ODE-centered superiority; stable long-horizon advantage; arbitrary-resolution operation","GFNODE_experiments/asoc_clean_decision/DECISION_EXPERIMENT_REPORT.md","11ccc6f2edf7f83ee2472f665266c81391b80311"
"R02","Discrete Candidate viability","Can the parameter-matched discrete candidate compete with iTransformer, PatchTST and ModernTCN?","Sanyo/Hanwha/Qcells; clean 2018 protocol","Same features, lookback72, H144 direct trajectory","iTransformer; PatchTST; ModernTCN","36 matrix runs; 6 discrete runs reused and 30 new","Four horizons RMSE/MAE/R²/nRMSE; rankings","Average RMSE rank 2.667; H144 top-two on 1 dataset; >5% behind best in 8/12 combinations; FAIL","Three seeds reported","CLEAN_PROTOCOL; compact report with complete CSV provenance","PERFORMANCE_FAIL_NEW_ALGORITHM","Insufficient competitiveness for ASOC method claim","Fair benchmark framework; baseline configs; per-seed metrics; ModernTCN control","Discrete Candidate as superior new algorithm","GFNODE_experiments/asoc_discrete_viability/ASOC_DISCRETE_VIABILITY_REPORT.md","9f3548d99ecf434dfbe3c5b67c336d1e1118418f"
"R03","Independent ModernTCN / TRAJECTORY_ONLY","What is the strongest reliable deterministic trajectory baseline?","Sanyo/Hanwha/Qcells 2018 clean benchmark; Site17 Sanyo 2022 multirate protocol","Causal regular inputs; direct H144 or H12 depending experiment","Other clean baselines and later candidates","9 clean viability ModernTCN runs; 3 Site17 MEAN_ONLY runs","RMSE/MAE/R²/nRMSE; trajectory diagnostics","Reliable and generally strongest/stable control; Site17 H12 Test RMSE 0.48665±0.00447 kW","Stable three-seed artifacts","CLEAN_PROTOCOL_VERIFIED; RECOMPUTABLE","RETAIN_AS_BASELINE_NOT_INNOVATION","ModernTCN is published prior art; result supports engineering baseline, not an original algorithm","Checkpoints; predictions; clean protocol; metric and artifact code","ModernTCN as project-original method or ASOC algorithmic novelty","GFNODE_experiments/asoc_multirate_information_screen/REPORT.md","265cd6183ff374850786df8f30844b8dec043044"
"R04","Cross-technology feasibility","Are three Alice Springs arrays synchronizable for joint modeling?","Sanyo/Hanwha/Qcells 2018","Shared weather; technology-private performance ratio; synchronized timestamps","Formulations A/B/C; smoke prototype","0 neural trainings; one smoke forward/backward","Timestamp intersections; feature equality; output/loss shape","SYNCHRONIZED_MULTI_OUTPUT technically feasible at same site; not evidence of cross-site/generalization","Not applicable","MEASUREMENT_AND_SMOKE_ONLY","EXPLORATORY_FEASIBLE_TASK","Shared weather may create apparent gain; capacity/unit metadata initially unknown","Timestamp/feature compatibility measurements; shared-weather finding","Geographical, climate or zero-shot technology generalization","GFNODE_experiments/asoc_cross_technology_feasibility/CROSS_TECH_FEASIBILITY_REPORT.md","a5d3586ad5c7ea739aef6a756c8e4989b0f9bae4"
"R05","Shared–Private cross-technology screen","Do joint early fusion or shared-private ModernTCN beat independent models?","Co-located Sanyo/Hanwha/Qcells","One shared weather copy plus private array features/masks","Independent ModernTCN; Joint Early-Fusion","6 new joint runs; 9 independent runs reused","12 technology×horizon nRMSE combinations; parameters","Both joint models lost to Independent ModernTCN in 12/12; Shared–Private macro nRMSE error +16.33%; 55.257M parameters","Failure across all 12 combinations","IMPLEMENTATION_SMOKE_PASS; END_TO_END_PROVENANCE_PARTIAL","FAIL_CURRENT_IMPLEMENTATION / NO_GO_FOR_SUBMISSION","Performance failure plus severe fusion parameter inflation; models not strictly capacity/backbone/budget matched, so universal sharing hypothesis not disproved","Same-site synchronized data organization; per-head masks; negative result","Current joint models as beneficial; broad cross-technology hypothesis universally false","GFNODE_experiments/asoc_cross_technology_screen/REPORT.md","413a53d62615ca13bb767bb8d27819bc626d0be4"
"R06","Dataset lineage audit","Are authoritative untouched raw data and original missingness recoverable?","PVforecast16 + paper workspace + origin/master","Read-only scan of 404 data/result files","Content-derived lineage criteria","0","Timestamp ranges; missingness; source references; processing level","TIMESTAMPS_AVAILABLE_BUT_MISSINGNESS_LOST for old 2018 project CSVs; usable for regular-grid forecasting but not observation-controlled irregular claims","Not applicable","READ_ONLY_AUDIT","DATA_LINEAGE_LIMITATION","Old 2018 files are best available source layer, not provably untouched downloads","Lineage inventory; code path trace; regular-grid caution","Untouched raw provenance or genuine observation-process missingness for old data","GFNODE_experiments/asoc_data_lineage_audit/DATASET_LINEAGE_AUDIT_REPORT.md","a28aa6652dd08d7af15cc517403a37ad0c7b9ea9"
"R07","Initial multirate data audit","Can downloaded high-resolution irradiance support 2021–2023 multirate work?","Four DKASC PV exports + damaged high-resolution file","Raw timestamps and MB channels","Calendar completeness expectations","0","Structural damage; coverage; causal descriptive correlations","High-resolution file covered fewer than two days then jumped ~446 days; re-download required; PV exports remained usable after explicit malformed handling","Not applicable","READ_ONLY_AUDIT","DATA_DOWNLOAD_FAIL_FOR_MULTIRATE","High-resolution source corrupted/incomplete","Robust parser; file inventory; causal feature definitions","2021–2023 continuous multirate results from damaged file","GFNODE_experiments/asoc_multirate_data_audit/MULTIRATE_DATA_AUDIT_REPORT.md","8db0c635ef865cd50a639d61ff7cb7c0f15d1276"
"R08","2022 multirate re-download validation","Is re-downloaded 2022 second-level irradiance structurally usable and time aligned?","2022 Site17 PV + complete UTC second-level MB0/1/2","Independent MB channels; UTC authoritative; ACST mapping","UTC+09:00/+09:30/Local candidates","0","Monthly coverage; alignment lag; valid windows","Structurally intact full UTC seconds; strict aligned task classified 2022_PARTIAL_PERIOD_USABLE; recommended UTC+09:30, do not use Local field directly","Not applicable","READ_ONLY_VALIDATION","RETAIN_DATA_RESOURCE_WITH_MASKS","PV/high-frequency common completeness is segmented; not a universal full-year complete panel","Authoritative 2022 irradiance; ACST mapping; channel masks; usable window counts","Silent Local-time use or uninterrupted strict full-year common coverage","GFNODE_experiments/asoc_multirate_redownload_validation/REDOWNLOAD_VALIDATION_REPORT.md","15c04eac30a0b09ab72bbff8c1ca47447a759153"
"R09","High-frequency irradiance information screen","Do past second-level irradiance dynamics add stable point-forecast information beyond 5-min means?","Site17 Sanyo 2022","MEAN_ONLY 14 inputs versus +15 per-channel dynamics inputs","Same ModernTCN","6: 2 conditions × 3 seeds","H3/H6/H12 RMSE; daylight/ramp; difference MAE","HF_DYNAMICS lost H12 in all seeds; paired mean H12 change −1.401%","0/3 H12 wins","CLEAN_CAUSAL_PROTOCOL_VERIFIED","PERFORMANCE_FAIL; EXPLORATORY_INFORMATION_FINDING","Past volatility flags difficult regimes but does not reveal future cloud direction","MEAN_ONLY artifacts; causal multirate protocol; masks; negative result","Stable accuracy gain from past HF dynamics; basis for NODE","GFNODE_experiments/asoc_multirate_information_screen/REPORT.md","265cd6183ff374850786df8f30844b8dec043044"
