"claim_id","manuscript_location","original_claim","original_evidence","audit_finding","clean_reproduction_status","disposition","allowed_revised_wording","prohibited_wording","required_new_evidence","related_experiment","source_path"
"C01","Abstract; Sec.1 contributions; Sec.3.5","GFNODE bridges discrete features with continuous-time latent dynamics","ODE equations and RK4 description","Legacy ODEFunc receives t but does not use it; grid is dimensionless [0,1]","Clean time-conditioned implementation exists, but its route decision failed","REMOVE","The original implementation used an autonomous latent ODE; a later corrected time-conditioned screen found no stable advantage","Physical-time-conditioned continuous dynamics in the submitted results","A new, successful clean experiment with verified physical time semantics","Original GFNODE; Clean GFNODE","docs/asoc_stage0_audit/ODE_IMPLEMENTATION_TRACE.md"
"C02","Sec.3.5 vector-field definition","t explicitly conditions f_theta","ODE notation f(z,t)","t is present only in function signature and unused in network computation","CONTRADICTED_BY_CODE","REMOVE","The released legacy vector field was autonomous","Time-conditioned vector field in original Table/Figure results","Correct implementation plus rerun","Original GFNODE","docs/asoc_stage0_audit/ODE_IMPLEMENTATION_TRACE.md"
"C03","Sec.3.5; Table 7","RK4 uses a fixed physically meaningful step consistent with 5-minute outputs","Paper equations and solver description","0.1 is solver option; effective step is 1/H; physical 5 minutes never enters f","NOT_REPRODUCED","REMOVE","The legacy solver used a normalized output grid; no physical-step claim is retained","RK4 physical step=0.1 or 5 minutes","Unit-aware solver and clean validation","Original GFNODE","docs/asoc_stage0_audit/ODE_IMPLEMENTATION_TRACE.md"
"C04","Abstract; Sec.3.5; Sec.4.3","One continuous model supports multiple horizons by integration","Seven reported horizons","Separate model/checkpoint/head trained per dataset×H","CONTRADICTED_BY_CODE","REMOVE","Results, if discussed historically, came from independently trained horizon-specific models","Single model forecasts all 1–12h horizons","One H144 checkpoint evaluated by prefixes or arbitrary queried times","Original GFNODE; Clean GFNODE","docs/asoc_stage0_audit/ODE_IMPLEMENTATION_TRACE.md"
"C05","Sec.3.5 and Sec.4.5.2","Predictions at arbitrary temporal resolutions without retraining","General Neural ODE rationale","H-specific fixed grid/head/checkpoint; no arbitrary-time API or experiment","NO_CLEAN_SUPPORT","REMOVE","No arbitrary-resolution capability is claimed","Arbitrary temporal resolution without retraining","A registered-time query interface and held-out-time evaluation from one checkpoint","Original GFNODE","docs/asoc_stage0_audit/CLAIM_EVIDENCE_MATRIX.csv"
"C06","Abstract; Sec.4.2.2; 4.4; Conclusion","Neural ODE suppresses error accumulation, especially at long horizons","Printed ablation and SOTA tables","Table10 H144 source absent; no matched error-growth control; clean ODE loses badly on Sanyo","FAILED_CLEAN_SCREEN","REMOVE","Long-horizon error increases are reported descriptively without causal attribution to ODE","ODE effectively suppresses error accumulation","Leakage-free matched ablation with traceable H-specific errors and repeated seeds","Original/Clean GFNODE","docs/asoc_stage0_audit/STAGE0_AUDIT_REPORT.md"
"C07","Sec.1 contribution(2); Sec.3.3","Gated fusion adaptively balances local/global representations","Architecture and legacy ablation","Legacy ablation provenance mismatches; no clean gated-weight behavior or matched ablation","NOT_CLEANLY_REPRODUCED","REQUIRES_NEW_EXPERIMENT","A legacy architecture included gated fusion; no validated performance contribution is asserted","Gating is validated or causes robustness","Clean component ablation, gate analyses and repeated seeds","Original GFNODE","docs/asoc_stage0_audit/EXPERIMENT_PROVENANCE.csv"
"C08","Sec.1 contribution(1); Sec.3.1–3.2","MSD-TCN and Transformer jointly capture local/global patterns","Architecture description and Table10","Module combination is ordinary; Table10 sources incomplete/mismatched","NOT_CLEANLY_REPRODUCED","REVISE","Multi-scale convolution and attention are established components used in the legacy architecture","Novel local-global mechanism or validated unique contribution","Clean matched ablations and novelty comparison","Original GFNODE","docs/asoc_stage0_audit/EXPERIMENT_PROVENANCE.csv"
"C09","Abstract; Sec.4.4; Conclusion","Highest R² in 9/12 combinations","Printed Table13","No unified raw source; baseline CSV lacks GFNODE; test used for selection","NOT_REPRODUCIBLE","REMOVE","No ranking claim retained","9/12 R² best","Full clean repeated benchmark and regenerated table","Original GFNODE","docs/asoc_stage0_audit/EXPERIMENT_PROVENANCE.csv"
"C10","Abstract; Sec.4.4; Conclusion","Lowest RMSE in 10/12 combinations","Printed Table13","No unified provenance; clean Discrete Candidate later failed viability","NOT_REPRODUCIBLE","REMOVE","No 10/12 superiority claim retained","10/12 RMSE best","Full clean repeated benchmark with frozen configs","Original GFNODE; Discrete viability","docs/asoc_stage0_audit/EXPERIMENT_PROVENANCE.csv"
