item_id,item_type,planned_section,planned_claim,evidence_source,artifact_path,dataset,models,metrics,current_status,required_processing,requires_training,allowed_wording,prohibited_wording,final_recommendation
C1,CLAIM,Introduction,"PV forecasting evaluations can be invalidated by preprocessing leakage, window overlap and Test-driven selection.",Stage 0 integrity audit,docs/asoc_stage0_audit/STAGE0_AUDIT_REPORT.md,2018 project arrays,Not model-specific,Protocol findings,READY,Cite exact audit examples and distinguish old invalid results from the clean protocol.,NO,The study evaluates direct multi-step forecasting under a timestamp-faithful leakage-free protocol.,The audit proves all published PV studies are leaked.,USE_AS_MOTIVATION
C2,CLAIM,Data and Leakage-Free Evaluation Protocol,"All KNN, Isolation Forest and scalers are fit on Train only; splits are windowed independently.",Clean decision implementation and tests,GFNODE_experiments/asoc_clean_decision/asoc_clean_decision.py,Sanyo; Hanwha; Qcells,All clean models,Split/test assertions,READY,Extract precise functions and line references for the manuscript methods and repository release.,NO,Preprocessors are fit only on Train and applied to later splits.,The protocol eliminates every possible source of leakage.,CORE_METHOD_CLAIM
C3,CLAIM,Data and Leakage-Free Evaluation Protocol,"The 2018 benchmark uses a complete 5-minute grid, lookback 72 and one H144 output whose prefixes define H12/H48/H96/H144.",Discrete viability config and artifacts,GFNODE_experiments/asoc_discrete_viability/config.json,Three co-located project arrays,Four completed models,Sample counts; horizon definitions,READY,Recalculate split counts from clean preparation and disclose that project-layer CSVs are regularized upstream candidates.,NO,All reported horizons are prefixes of the same direct H144 forecast.,The files preserve all original download missingness.,CORE_PROTOCOL_CLAIM
C4,CLAIM,Results,ModernTCN has the best mean RMSE rank among the four completed clean models across 12 dataset–horizon combinations.,Clean viability rankings,GFNODE_experiments/asoc_discrete_viability/model_rankings.csv,Sanyo; Hanwha; Qcells,ModernTCN; iTransformer; PatchTST; Discrete Candidate,RMSE rank,READY_AFTER_RECALCULATION,"Recompute all ranks from prediction artifacts and report mean±SD, not only aggregate ranking.",NO,"Among the four evaluated models, ModernTCN achieved mean RMSE rank 1.25 and ranked first in 10/12 combinations.",ModernTCN is state of the art or universally superior.,MAIN_RESULT_AFTER_RECALC
C5,CLAIM,Results,Performance and ranking depend on array technology and forecast horizon.,Per-seed clean benchmark,GFNODE_experiments/asoc_discrete_viability/benchmark_per_seed.csv,Sanyo; Hanwha; Qcells,Four completed models,RMSE; MAE; R2; nRMSE,READY_AFTER_RECALCULATION,Recompute paired tables from all 36 H144 prediction files; retain full and daylight scopes.,NO,Model rankings vary by array and horizon under a common protocol.,Differences are caused solely by PV technology.,CORE_APPLICATION_FINDING
C6,CLAIM,Trajectory Error and Information-Limit Analysis,The Site 17 direct H12 ModernTCN becomes over-smoothed in high-change daylight windows.,Deterministic trajectory opportunity analysis,GFNODE_experiments/asoc_deterministic_trajectory_opportunity/TRAJECTORY_ERROR_METRICS.csv,Site 17 Sanyo 2022,TRAJECTORY_ONLY / MEAN_ONLY ModernTCN,Lead RMSE; difference MAE; TV ratio; change-amplitude ratio,READY,Use Validation as design evidence; label 2022 Test as previously inspected exploratory evidence.,NO,Validation shows change-amplitude and total-variation collapse concentrated in high-change daylight windows.,All PV technologies exhibit the same quantified smoothing.,SECONDARY_CASE_STUDY
C7,CLAIM,Trajectory Error and Information-Limit Analysis,Past second-level irradiance dynamics did not add stable point-forecast value beyond five-minute means in the fixed Site 17 experiment.,Information-gain screen,GFNODE_experiments/asoc_multirate_information_screen/metrics_per_seed.csv,Site 17 Sanyo 2022,MEAN_ONLY; HF_DYNAMICS,H3/H6/H12 RMSE and diagnostics,READY,Report as bounded negative result or supplementary analysis; do not make a universal information claim.,NO,HF_DYNAMICS worsened H12 RMSE in all three seeds in this fixed experiment.,High-frequency irradiance has no value for PV forecasting.,DISCUSSION_OR_SUPPLEMENT
C8,CLAIM,Discussion,Decoder changes alone did not resolve the observed smoothing under the tested ALICD design.,ALICD screen,GFNODE_experiments/asoc_alicd_screen/metrics_per_seed.csv,Site 17 Sanyo 2022,TRAJECTORY_ONLY; ALICD,Validation scenario RMSE; TV ratio,READY,Keep brief and subordinate; no architecture novelty claim.,NO,The tested anchored level–increment decoder did not improve the pre-specified Validation failure mode.,All trajectory decoders are ineffective.,OPTIONAL_LIMITATION
C9,CLAIM,Discussion,Cross-technology joint sharing is not supported by the current implementations.,Corrected cross-technology screen,GFNODE_experiments/asoc_cross_technology_screen/REPORT.md,Sanyo; Hanwha; Qcells,Independent ModernTCN; Early Fusion; Shared–Private,nRMSE; parameters,UNSUPPORTED,"If included, state backbone/capacity mismatch and keep outside the main benchmark.",NO,The two implemented joint models lost to independent ModernTCN in all 12 combinations.,Cross-technology sharing is universally invalid.,SUPPLEMENT_ONLY
D1,DATA,Data and Leakage-Free Evaluation Protocol,"Authoritative metadata identify Sites 17/25/38, technologies, capacities and Active_Power units.",DKASC audit plus official source pages,GFNODE_experiments/asoc_multirate_data_audit/MULTIRATE_DATA_AUDIT_REPORT.md,Sites 17; 25; 38,Not applicable,Metadata fields,NEEDS_METADATA,Re-verify each official DKASC page; reconcile official raw files with 2018 project-layer CSVs; add coordinates and licensing.,NO,"Official DKASC metadata describe Site 17 Sanyo HIT 6.3 kW, Site 25 Hanwha poly-Si 5.83 kW and Site 38 Q CELLS mono-Si 5.9 kW.",Technology or unit inferred from filenames.,MANDATORY_BEFORE_WRITING
