"type","relative_path","purpose_or_structure","modified_local","sha256","key_evidence"
"directory","PV_improve_v1/","Writing, submission, figures","2026-03-24 to 2026-07-16","N/A","Writing root; recursive listing read-only."
"directory","PV_improve_v1/Final_Submission/Paper_md版本/","Manuscript Markdown","2026-03-24 to 2026-04-01","N/A","Tables 9–13 and Figures 10–14."
"directory","PV_improve_v1/Submision/EPSR/","Original EPSR package","2026-07-16","N/A","Rejected DOCX and Figure_10–14 PDFs."
"directory","PVforecast16/","Development root","2024-11-23 to 2026-03-25","N/A","Data, code, old results."
"directory","PVforecast16/GFNODE_experiments/","Current experiment evidence","2026-03-10 to 2026-03-25","N/A","Code, CSVs, checkpoints, predictions."
"paper","PV_improve_v1/Final_Submission/Paper_md版本/2_Experimental_Data_Analysis_and_Preprocessing.md","Preprocessing prose","2026-03-24 10:57:20","95696C140218F49ACA4539EF047E5405147AE961FB62F2689E1FEEE44032E24B","Paper source."
"paper","PV_improve_v1/Final_Submission/Paper_md版本/3_Modeling.md","ODE/model prose","2026-03-24 11:19:59","1DE3464922098362ACF0624EFD55090A503BCFA58DF02A4DA565E018FE3FAEAF","Paper source."
"paper","PV_improve_v1/Final_Submission/Paper_md版本/4_Experiments_and_Results_Analysis.md","Tables 9–13 and claims","2026-04-01 14:58:08","B05A48ED9145A58A1D3AAA8780AF432A6CFA86D6A64EAE0A8159AD7C6FAA1059","Key lines 45–232."
"paper","PV_improve_v1/Final_Submission/Paper_md版本/5_Conclusions.md","Conclusion claims","2026-03-24 11:11:00","966D85A3C9F7C48359414F38CCA47536392240056E0C48AAC10C544A3D10E090","Lines 3–6."
"submission","PV_improve_v1/Submision/EPSR/UT_PV_Forecasting_GFNODE_Manuscript.docx","Original manuscript","2026-07-16 16:58:47","631516397ED8EBD20D53EBE40AF907E2AEE84FE1F65064CE13C9CBF3B54D27DF","Renderer unavailable; Markdown used for table text."
"readme","PVforecast16/GFNODE_experiments/README.md","Experiment map","2026-03-10 20:48:55","C61F4455B94B02BC8D7C9B5B3C8462A59C1D17E7EC084FF8C93AFAA3D0ABEFAF","Lines 9–31."
"model","PVforecast16/GFNODE_experiments/main.py","Legacy preprocessing/model path","2026-03-12 23:44:59","69A8611EAC1DD955B5A5B69D84F790EE2A8CC6D5E78343EEDFF45ACC87654B0F","Preprocess 76–151; ODE 439–519."
"benchmark","PVforecast16/GFNODE_experiments/gfnode_solo_benchmark.py","Per-dataset/per-H GFNODE benchmark","2026-03-18 00:39:18","32F3E60AFCA610D812BC21D82932B4AC8FCEA9BA19D950F299D6B712DD882265","Preprocess 36–83; ODE 252–395; split 605–621."
"baseline","PVforecast16/GFNODE_experiments/fair_sota_comparison.py","Six baseline comparison","2026-03-17 16:08:27","71154EF2F353C31947B3A78AC2A86B1AFE8391102240510078075CA5399F28AF","Test is validation at 1063–1075."
"optuna","PVforecast16/GFNODE_experiments/optuna_optimization_v2.py","Sanyo H48 Optuna","2026-03-11 11:15:23","31AB24E3572A834059D9564173B33BEECA5297DF2832BADC561B3266965231E2","70/15/15 at 180–212."
"ablation","PVforecast16/GFNODE_experiments/preprocessing_ablation_experiment.py","Six-level preprocessing ablation","2026-03-18 23:01:03","5BF5407A90BF041B6DB45140F4F6E8EABF3B3CD76CD7B3A26CCF5E47522656C1","Split 218–235."
"ablation","PVforecast16/GFNODE_experiments/ablation_experiment.py","Component ablation","2026-03-11 03:29:11","E4337FE46D0572760FD7920EFFAD2E756057D1C4CE1D01153C7F7ABEA66DE1C9","Split 673–705."
"seasonal","PVforecast16/GFNODE_experiments/seasonal_robustness_experiment.py","Separate spring/autumn training","2026-03-18 03:45:52","D3E475431DAE5C0E89FEA5B03104331BE2CE0873B006F905502BA6C77B274DDE","Loop/training 157–216."
"profiling","PVforecast16/GFNODE_experiments/computational_profiling.py","Params/FLOPs/latency script","2026-03-23 15:52:16","9AA57B179AB61FECA9444F21DB5C3977F8718169801E27E2BC2ED50CB425DCA7","H48/B1; 50 warmup/200 timing."
"figure","PVforecast16/GFNODE_experiments/fig_neural_ode_analysis.py","Figure 12 vector field","2026-03-21 19:51:46","980E7EF0F8372ED1BE507D9DA9A317E48A00C802B4FC27F22958052897F14A93","Random-state PCA 119–160."
"data","PVforecast16/GFNODE_experiments/17Sanyo.csv","Sanyo raw","2024-11-23 16:22:20","BEE176098B31432746F49F0D3ECC502F50C798C8C7A94C90F4F7EFDEBC368182","44,064 rows."
"data","PVforecast16/GFNODE_experiments/25Hanwha.csv","Hanwha raw","2025-10-23 21:35:51","4ED7FCAD67BA03D3612E6D426661C161CCDBEA3CA08CD606D1D3E1208CE13642","44,064 rows."
"data","PVforecast16/GFNODE_experiments/38QCELLS.csv","Qcells raw","2025-10-23 21:10:25","CBA26D36B0091B3EC158FB4803238CE5C2D8E694435D90A4FD2A89500E19A3BB","44,064 rows."
"data","PVforecast16/GFNODE_experiments/25Hanwha_Differentseason.csv","Autumn Hanwha raw","2025-10-30 15:47:54","64395203AADDC6F4A4ED9437ECE146563745F9DEC807787750D31B254114112B","Seasonal input."
"result","PVforecast16/GFNODE_experiments/preprocessing_ablation_20260319_014843/preprocessing_ablation_results.csv","Table 9 candidate","2026-03-19 06:22:44","CCD267E8901427152B7131472A2D0B8FF53E976364ED541A26785AE6E43BB504","Contradicts paper."
"result","PVforecast16/GFNODE_experiments/ablation_experiment_20260318_161406/ablation_results.csv","Table 10 H48 candidate","2026-03-19 01:38:43","4B85F83A5161C09EE1C74BFEABC159D2BED03B71D9A50ED74CBDF8BCC1160853","No H144; conflicts."
"result","PVforecast16/GFNODE_experiments/gfnode_benchmark_20260315_022620/gfnode_benchmark_results.csv","Table 11 candidate","2026-03-17 15:04:02","4D1FEA7926FD6EF35AD60AE5C8567619BB9A03B1F3FAEB97C2B13AA1CAEAC890","Only five H."
"result","PVforecast16/GFNODE_experiments/gfnode_benchmark_20260319_110739/gfnode_benchmark_results.csv","Latest Table 11 candidate","2026-03-20 07:55:40","8F50183E0B51813EDF6F20E4242AD02367E1197077F6A7A20FE99F088F3BAD58","Seven H; differs."
"result","PVforecast16/GFNODE_experiments/seasonal_experiment_20260318_035019/seasonal_results.csv","Table 12 candidate","2026-03-18 12:50:05","2CCDFBCEF681308E9A425D62EEA4058C6E09DF92758BDACB5566DFD0402188DD","Contradicts paper."
"result","PVforecast16/GFNODE_experiments/fair_comparison_20260317_162328/fair_comparison_results.csv","Table 13 baseline candidate","2026-03-18 01:01:44","7770F48E32CF513FB4C85D8521F748F3AEC34DE7E1C050E4BCC74A9DF4D1EB15","No GFNODE rows."
"result","PVforecast16/GFNODE_experiments/sota_comparison_20260310_230559/efficiency_results.csv","Older latency record","2026-03-11 03:08:33","22F129CE6C02EF7424EF68D0060434222D9DC7A476C794E60C2B1ABDBD133E39","42.88±4.62ms, not 106.37ms."

